Miner	Venue	URLs on racial discrimination
JOS	R7	https://noticias.r7.com/sao-paulo/apps-usam-caso-de-racismo-para-camuflar-precarizacao-diz-sindicato-13082020
JOS	R7	https://noticias.r7.com/prisma/r7-planalto/ifood-expulsa-usuario-racista-que-agrediu-entregador-no-interior-de-sp-07082020
JOS	Folha de SP	https://www1.folha.uol.com.br/colunas/monicabergamo/2020/10/reu-absolvido-de-crime-de-racismo-contra-maju-coutinho-pede-indenizacao-a-globo.shtml
JOS	Correio Braziliense	https://www.correiobraziliense.com.br/brasil/2020/10/4882703-inocentado-de-acusacao-de-racismo-homem-processa-globo-e-maju-coutinho.html
JOS	UOL	https://www.uol.com.br/splash/videos/2020/10/16/aline-sobre-blackface-de-carioca-e-racismo-me-questiono-se-nao-e-feito-para-gerar-polemica.htm
JOS	Correio Braziliense	https://www.correiobraziliense.com.br/brasil/2020/10/4882605-revoltante-diz-vitima-de-ataque-racista-por-agressora-ser-solta-por-rs-350.html
JOS	Tenho Mais Discos que Amigos	https://www.tenhomaisdiscosqueamigos.com/2020/10/13/eddie-van-halen-luta-ambiente-racista/
JOS	UOL	https://noticias.uol.com.br/colunas/andre-santana/2020/10/16/pode-a-ternologia-ser-racista.htm
JOS	Exame	https://exame.com/negocios/contra-o-racismo-esta-empresa-protege-funcionarios-e-processa-clientes/
JOS	Época	https://epocanegocios.globo.com/Empresa/noticia/2020/10/disney-reforca-alerta-sobre-racismo-em-filmes-classicos.html
JOS	UOL	https://www.uol.com.br/ecoa/ultimas-noticias/2020/10/06/racismo-reverso-existe-entenda-por-que-a-pergunta-e-absurda.htm
JOS	Brasil247	https://www.brasil247.com/entrevistas/ivanir-dos-santos-a-intolerancia-religiosa-nasceu-do-racismo
JOS	G1	https://g1.globo.com/ro/rondonia/noticia/2020/10/14/cantor-diz-ter-sido-vitima-de-racismo-por-pm-em-karaoke-de-porto-velho-falou-que-a-pele-dele-nao-era-suja.ghtml
JOS	Folha de SP	https://www1.folha.uol.com.br/opiniao/2020/10/judiciario-precisa-frear-racismo-nas-abordagens-policiais.shtml
JOS	UOL	https://www.uol.com.br/esporte/colunas/lei-em-campo/2020/09/22/magazine-luiza-tem-muito-a-ensinar-ao-esporte-no-combate-ao-racismo.htm
JOS	UOL	https://www.uol.com.br/tilt/noticias/redacao/2020/09/21/algoritmo-racista-twitter-pode-estar-escondendo-rostos-negros-nos-posts.htm
JOS	Brasil de Fato	https://www.brasildefato.com.br/2020/09/25/em-dez-anos-nenhum-juiz-foi-punido-por-racismo-em-processos-abertos-no-cnj
JOS	Brasil de Fato RS	https://www.brasildefators.com.br/2020/09/21/revolucao-farroupilha-na-pandemia-de-cavalgadas-a-atos-contra-o-racismo
